pair_key,package_kind,full60_transition_count,full60_transitions,has_boundary_carrier,boundary_carrier_id,support_rails,step_count,supported_delta_edge_count,unsupported_delta_edge_count,direct_boundary_delta_edge_count,internal_delta_edge_count,unsupported_rate,channels_admitted
2/3,clean_reciprocal_pair_package,3,2 -> 3 | 2/3 -> 3 | 3 -> 2,True,slot_pair_02_03_boundary_carrier,slot_02_internal_carrier slot_03_internal_carrier slot_pair_02_03_boundary_carrier,180,180,0,0,180,0.0,False
2/8,clean_reciprocal_pair_package,3,2 -> 8 | 2/8 -> 8 | 8 -> 2,True,slot_pair_02_08_boundary_carrier,slot_02_internal_carrier slot_08_internal_carrier slot_pair_02_08_boundary_carrier,180,180,0,0,180,0.0,False
3/9,clean_reciprocal_pair_package,3,3 -> 9 | 3/9 -> 9 | 9 -> 3,True,slot_pair_03_09_boundary_carrier,slot_03_internal_carrier slot_09_internal_carrier slot_pair_03_09_boundary_carrier,180,180,0,0,180,0.0,False
5/10,clean_reciprocal_pair_package,3,10 -> 5 | 5 -> 10 | 5/10 -> 10,True,slot_pair_05_10_boundary_carrier,slot_05_internal_carrier slot_10_internal_carrier slot_pair_05_10_boundary_carrier,180,180,0,0,180,0.0,False
5/14,clean_reciprocal_pair_package,3,14 -> 5 | 5 -> 14 | 5/14 -> 14,True,slot_pair_05_14_boundary_carrier,slot_05_internal_carrier slot_14_internal_carrier slot_pair_05_14_boundary_carrier,180,180,0,0,180,0.0,False
6/13,clean_reciprocal_pair_package,3,13 -> 6 | 6 -> 13 | 6/13 -> 13,True,slot_pair_06_13_boundary_carrier,slot_06_internal_carrier slot_13_internal_carrier slot_pair_06_13_boundary_carrier,180,180,0,0,180,0.0,False
6/12,two_transition_pair_package,2,12 -> 6 | 6/12 -> 12,True,slot_pair_06_12_boundary_carrier,slot_06_internal_carrier slot_12_internal_carrier slot_pair_06_12_boundary_carrier,120,120,0,0,120,0.0,False
7/11,two_transition_pair_package,2,11 -> 7 | 7/11 -> 11,True,slot_pair_07_11_boundary_carrier,slot_07_internal_carrier slot_11_internal_carrier slot_pair_07_11_boundary_carrier,120,120,0,0,120,0.0,False
6/9,one_way_single_transition,1,6 -> 9,False,,slot_06_internal_carrier slot_09_internal_carrier,60,0,60,0,0,1.0,False
9/12,one_way_single_transition,1,9 -> 12,True,slot_pair_09_12_boundary_carrier,slot_09_internal_carrier slot_12_internal_carrier slot_pair_09_12_boundary_carrier,60,60,0,0,60,0.0,False
