feature,feature_kind,feature_name,denied_count,allowed_counts,denied_present,allowed_present_count,denied_only_presence,allowed_all_absent_denied,count_uniquely_distinguishes_denial,safe_for_cause_test,candidate_status,promoted_to_source_law,promoted_to_admission
rail_internal_slot:05,rail_internal_slot,05,1,0 0 0 0 0,true,0,true,false,true,true,shell_position_denied_only_candidate_not_law,false,false
rail_internal_slot:08,rail_internal_slot,08,1,0 0 0 0 0,true,0,true,false,true,true,shell_position_denied_only_candidate_not_law,false,false
rail_internal_slot:10,rail_internal_slot,10,1,0 0 0 0 0,true,0,true,false,true,true,shell_position_denied_only_candidate_not_law,false,false
rail_internal_slot:14,rail_internal_slot,14,1,0 0 0 0 0,true,0,true,false,true,true,shell_position_denied_only_candidate_not_law,false,false
rail_slot_pair:04_05,rail_slot_pair,04_05,8,0 0 0 0 0,true,0,true,false,true,true,shell_position_denied_only_candidate_not_law,false,false
rail_slot_pair:05_10,rail_slot_pair,05_10,1,0 0 0 0 0,true,0,true,false,true,true,shell_position_denied_only_candidate_not_law,false,false
rail_slot_pair:05_14,rail_slot_pair,05_14,1,0 0 0 0 0,true,0,true,false,true,true,shell_position_denied_only_candidate_not_law,false,false
context_keyword:boundary,context_keyword,boundary,10,0 0 11 9 22,true,3,false,false,true,true,shell_position_count_fingerprint_not_cause,false,false
context_keyword:boundary_carrier,context_keyword,boundary_carrier,10,0 0 11 9 20,true,3,false,false,true,true,shell_position_count_fingerprint_not_cause,false,false
context_keyword:carrier,context_keyword,carrier,10,0 0 11 9 24,true,3,false,false,true,true,shell_position_count_fingerprint_not_cause,false,false
numeric_proxy:construction_csv_row_hit_count,numeric_proxy,construction_csv_row_hit_count,1107,75 51 1298 1050 1457,true,5,false,false,true,true,shell_position_count_fingerprint_not_cause,false,false
numeric_proxy:construction_file_hit_count,numeric_proxy,construction_file_hit_count,17,1 1 19 16 73,true,5,false,false,true,true,shell_position_count_fingerprint_not_cause,false,false
numeric_proxy:csv_row_hit_count,numeric_proxy,csv_row_hit_count,1602,77 53 1711 1454 2133,true,5,false,false,true,true,shell_position_count_fingerprint_not_cause,false,false
numeric_proxy:source_file_hit_count,numeric_proxy,source_file_hit_count,50,3 3 54 39 238,true,5,false,false,true,true,shell_position_count_fingerprint_not_cause,false,false
rail_slot_pair_has_boundary_carrier,rail_slot_pair_has_boundary_carrier,rail_slot_pair_has_boundary_carrier,13,0 0 14 12 25,true,3,false,false,true,true,shell_position_count_fingerprint_not_cause,false,false
shell_proxy:slot_pair_boundary,shell_proxy,slot_pair_boundary,10,0 0 11 9 20,true,3,false,false,true,true,shell_position_count_fingerprint_not_cause,false,false
source_class:construction_surface,source_class,construction_surface,17,1 1 19 16 73,true,5,false,false,true,true,shell_position_count_fingerprint_not_cause,false,false
position_class:prefix_terminal_edge,position_class,prefix_terminal_edge,1,0 0 0 0 0,true,0,true,false,true,false,label_like_denied_only_not_cause,false,false
context_keyword:boundary_to_slot_internal_incidence,context_keyword,boundary_to_slot_internal_incidence,2,0 0 2 2 2,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:candidate_family_census,context_keyword,candidate_family_census,2,1 1 3 2 4,true,5,false,false,false,true,not_distinguishing,false,false
context_keyword:endpoint,context_keyword,endpoint,3,0 0 3 3 6,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:endpoint_incidence_handle,context_keyword,endpoint_incidence_handle,1,0 0 1 1 1,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:exact_packet,context_keyword,exact_packet,1,0 0 1 1 1,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:full60,context_keyword,full60,1,0 0 1 1 16,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:gate,context_keyword,gate,1,0 0 1 1 3,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:hit_signature,context_keyword,hit_signature,1,0 0 1 1 1,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:incidence,context_keyword,incidence,3,0 0 3 3 8,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:internal_carrier,context_keyword,internal_carrier,4,0 0 3 4 6,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:missing_target_anchor_edge,context_keyword,missing_target_anchor_edge,1,1 1 1 1 1,true,5,false,false,false,true,not_distinguishing,false,false
context_keyword:near_miss,context_keyword,near_miss,1,1 1 1 1 1,true,5,false,false,false,true,not_distinguishing,false,false
context_keyword:needs_new_gate_receipt,context_keyword,needs_new_gate_receipt,1,0 0 1 1 1,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:not_admitted_obvious_handle,context_keyword,not_admitted_obvious_handle,1,0 0 1 1 1,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:permission,context_keyword,permission,1,0 0 1 1 3,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:primary_rail_id,context_keyword,primary_rail_id,1,0 0 1 0 1,true,2,false,false,false,true,not_distinguishing,false,false
context_keyword:return_cell,context_keyword,return_cell,2,0 0 2 2 38,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:role_pairs,context_keyword,role_pairs,4,1 1 4 4 5,true,5,false,false,false,true,not_distinguishing,false,false
context_keyword:root_smoke,context_keyword,root_smoke,2,0 0 3 2 2,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:slot_pair_boundary_carrier,context_keyword,slot_pair_boundary_carrier,3,0 0 3 2 3,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:source_rail_id,context_keyword,source_rail_id,4,0 0 4 4 4,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:structural_incidence,context_keyword,structural_incidence,1,0 0 1 1 1,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:successor_rule,context_keyword,successor_rule,1,0 0 1 1 6,true,3,false,false,false,true,not_distinguishing,false,false
context_keyword:support_rails,context_keyword,support_rails,0,0 0 0 0 2,false,1,false,false,false,true,not_distinguishing,false,false
context_keyword:target_rail_id,context_keyword,target_rail_id,2,0 0 2 2 2,true,3,false,false,false,true,not_distinguishing,false,false
endpoint_slot:03,endpoint_slot,03,0,0 0 1 0 1,false,2,false,false,false,true,not_distinguishing,false,false
endpoint_slot:04,endpoint_slot,04,1,0 0 0 1 0,true,1,false,false,false,true,not_distinguishing,false,false
endpoint_slot_mentioned,endpoint_slot_mentioned,endpoint_slot_mentioned,1,0 0 1 1 1,true,3,false,false,false,true,not_distinguishing,false,false
gate_proxy:missing_target_anchor_edge,gate_proxy,missing_target_anchor_edge,1,1 1 1 1 1,true,5,false,false,false,true,not_distinguishing,false,false
gate_proxy:needs_new_gate_receipt,gate_proxy,needs_new_gate_receipt,1,0 0 1 1 1,true,3,false,false,false,true,not_distinguishing,false,false
gate_proxy:not_admitted,gate_proxy,not_admitted,1,0 0 1 1 1,true,3,false,false,false,true,not_distinguishing,false,false
matched_field:artifact,matched_field,artifact,0,0 0 0 0 1,false,1,false,false,false,true,not_distinguishing,false,false
matched_field:boundary_carrier_id,matched_field,boundary_carrier_id,0,0 0 0 0 4,false,1,false,false,false,true,not_distinguishing,false,false
matched_field:evidence,matched_field,evidence,1,0 0 1 1 1,true,3,false,false,false,true,not_distinguishing,false,false
matched_field:hit_signature,matched_field,hit_signature,1,0 0 1 1 1,true,3,false,false,false,true,not_distinguishing,false,false
matched_field:primary_rail_id,matched_field,primary_rail_id,1,0 0 1 0 1,true,2,false,false,false,true,not_distinguishing,false,false
matched_field:role_pairs,matched_field,role_pairs,4,1 1 4 4 4,true,5,false,false,false,true,not_distinguishing,false,false
matched_field:segment_role,matched_field,segment_role,0,0 0 0 0 8,false,1,false,false,false,true,not_distinguishing,false,false
matched_field:source_evidence,matched_field,source_evidence,1,0 0 1 1 1,true,3,false,false,false,true,not_distinguishing,false,false
matched_field:source_rail_id,matched_field,source_rail_id,2,0 0 2 2 2,true,3,false,false,false,true,not_distinguishing,false,false
matched_field:support_rails,matched_field,support_rails,0,0 0 0 0 2,false,1,false,false,false,true,not_distinguishing,false,false
matched_field:target_rail_id,matched_field,target_rail_id,2,0 0 2 2 2,true,3,false,false,false,true,not_distinguishing,false,false
position_class:internal_adjacent_edge,position_class,internal_adjacent_edge,0,0 0 1 0 0,false,1,false,false,false,false,not_distinguishing,false,false
position_class:long_jump,position_class,long_jump,0,0 1 0 0 0,false,1,false,false,false,false,not_distinguishing,false,false
position_class:skip_one_jump,position_class,skip_one_jump,0,1 0 0 1 0,false,2,false,false,false,false,not_distinguishing,false,false
position_class:suffix_terminal_edge,position_class,suffix_terminal_edge,0,0 0 0 0 1,false,1,false,false,false,false,not_distinguishing,false,false
rail_has_internal_slot,rail_has_internal_slot,rail_has_internal_slot,8,0 0 3 8 13,true,3,false,false,false,true,not_distinguishing,false,false
rail_internal_slot:00,rail_internal_slot,00,1,0 0 1 1 0,true,2,false,false,false,true,not_distinguishing,false,false
rail_internal_slot:02,rail_internal_slot,02,0,0 0 0 0 1,false,1,false,false,false,true,not_distinguishing,false,false
rail_internal_slot:03,rail_internal_slot,03,0,0 0 2 0 5,false,2,false,false,false,true,not_distinguishing,false,false
rail_internal_slot:04,rail_internal_slot,04,3,0 0 0 3 0,true,1,false,false,false,true,not_distinguishing,false,false
rail_internal_slot:06,rail_internal_slot,06,0,0 0 0 1 1,false,2,false,false,false,true,not_distinguishing,false,false
rail_internal_slot:09,rail_internal_slot,09,0,0 0 0 1 4,false,2,false,false,false,true,not_distinguishing,false,false
rail_internal_slot:11,rail_internal_slot,11,0,0 0 0 1 1,false,2,false,false,false,true,not_distinguishing,false,false
rail_internal_slot:12,rail_internal_slot,12,0,0 0 0 1 1,false,2,false,false,false,true,not_distinguishing,false,false
rail_slot_pair:00_01,rail_slot_pair,00_01,1,0 0 1 1 0,true,2,false,false,false,true,not_distinguishing,false,false
rail_slot_pair:00_04,rail_slot_pair,00_04,1,0 0 1 1 0,true,2,false,false,false,true,not_distinguishing,false,false
rail_slot_pair:00_05,rail_slot_pair,00_05,1,0 0 1 1 0,true,2,false,false,false,true,not_distinguishing,false,false
rail_slot_pair:00_06,rail_slot_pair,00_06,0,0 0 1 0 0,false,1,false,false,false,true,not_distinguishing,false,false
rail_slot_pair:02_03,rail_slot_pair,02_03,0,0 0 0 0 1,false,1,false,false,false,true,not_distinguishing,false,false
rail_slot_pair:03_04,rail_slot_pair,03_04,0,0 0 10 0 1,false,2,false,false,false,true,not_distinguishing,false,false
rail_slot_pair:03_08,rail_slot_pair,03_08,0,0 0 0 0 1,false,1,false,false,false,true,not_distinguishing,false,false
rail_slot_pair:03_09,rail_slot_pair,03_09,0,0 0 0 0 20,false,1,false,false,false,true,not_distinguishing,false,false
rail_slot_pair:04_09,rail_slot_pair,04_09,0,0 0 0 7 0,false,1,false,false,false,true,not_distinguishing,false,false
rail_slot_pair:06_12,rail_slot_pair,06_12,0,0 0 0 1 1,false,2,false,false,false,true,not_distinguishing,false,false
rail_slot_pair:09_11,rail_slot_pair,09_11,0,0 0 0 1 1,false,2,false,false,false,true,not_distinguishing,false,false
return_proxy:full60,return_proxy,full60,1,0 0 1 1 16,true,3,false,false,false,true,not_distinguishing,false,false
return_proxy:return_cell,return_proxy,return_cell,2,0 0 2 2 38,true,3,false,false,false,true,not_distinguishing,false,false
shell_proxy:edge_limit_phase,shell_proxy,edge_limit_phase,1,0 0 1 0 1,true,2,false,false,false,true,not_distinguishing,false,false
shell_proxy:endpoint_incidence,shell_proxy,endpoint_incidence,2,0 0 2 2 3,true,3,false,false,false,true,not_distinguishing,false,false
shell_proxy:root_smoke,shell_proxy,root_smoke,2,0 0 3 2 2,true,3,false,false,false,true,not_distinguishing,false,false
source_bucket:candidate_family_census_014,source_bucket,candidate_family_census_014,2,1 1 3 2 4,true,5,false,false,false,true,not_distinguishing,false,false
source_bucket:carrier,source_bucket,carrier,1,0 0 1 1 1,true,3,false,false,false,true,not_distinguishing,false,false
source_bucket:channel_candidate,source_bucket,channel_candidate,2,0 0 2 2 2,true,3,false,false,false,true,not_distinguishing,false,false
source_bucket:channel_source,source_bucket,channel_source,2,0 0 2 2 2,true,3,false,false,false,true,not_distinguishing,false,false
source_bucket:edge_limit_phase,source_bucket,edge_limit_phase,1,0 0 1 0 1,true,2,false,false,false,true,not_distinguishing,false,false
source_bucket:endpoint_incidence,source_bucket,endpoint_incidence,1,0 0 1 1 2,true,3,false,false,false,true,not_distinguishing,false,false
source_bucket:full60,source_bucket,full60,1,0 0 1 1 16,true,3,false,false,false,true,not_distinguishing,false,false
source_bucket:other,source_bucket,other,0,0 0 0 0 1,false,1,false,false,false,true,not_distinguishing,false,false
source_bucket:permission,source_bucket,permission,1,0 0 1 1 2,true,3,false,false,false,true,not_distinguishing,false,false
source_bucket:return_cell,source_bucket,return_cell,2,0 0 2 2 38,true,3,false,false,false,true,not_distinguishing,false,false
source_bucket:root_smoke,source_bucket,root_smoke,2,0 0 3 2 2,true,3,false,false,false,true,not_distinguishing,false,false
source_bucket:slot_pair,source_bucket,slot_pair,1,0 0 1 1 1,true,3,false,false,false,true,not_distinguishing,false,false
source_bucket:successor_rule,source_bucket,successor_rule,1,0 0 1 1 1,true,3,false,false,false,true,not_distinguishing,false,false
