signature_part,carrier,value_pair,part_kind,slot14_count,slot14_rate,contributes_to_internal_count,contributes_to_boundary_count,is_target_internal_carrier,is_target_boundary_carrier,promotion_status
slot_05_internal_carrier:5:4,slot_05_internal_carrier,5:4,internal_carrier,60,1.000000,true,false,true,false,signature_part_profile_not_law
slot_08_internal_carrier:5:4,slot_08_internal_carrier,5:4,internal_carrier,60,1.000000,true,false,true,false,signature_part_profile_not_law
slot_10_internal_carrier:5:4,slot_10_internal_carrier,5:4,internal_carrier,60,1.000000,true,false,true,false,signature_part_profile_not_law
slot_14_internal_carrier:5:4,slot_14_internal_carrier,5:4,internal_carrier,60,1.000000,true,false,true,false,signature_part_profile_not_law
slot_pair_05_10_boundary_carrier:10:1,slot_pair_05_10_boundary_carrier,10:1,boundary_carrier,60,1.000000,false,true,false,true,signature_part_profile_not_law
slot_pair_05_14_boundary_carrier:10:1,slot_pair_05_14_boundary_carrier,10:1,boundary_carrier,60,1.000000,false,true,false,true,signature_part_profile_not_law
slot_pair_08_14_boundary_carrier:10:1,slot_pair_08_14_boundary_carrier,10:1,boundary_carrier,60,1.000000,false,true,false,false,signature_part_profile_not_law
slot_pair_10_14_boundary_carrier:10:1,slot_pair_10_14_boundary_carrier,10:1,boundary_carrier,60,1.000000,false,true,false,false,signature_part_profile_not_law
slot_pair_00_05_boundary_carrier:6:1,slot_pair_00_05_boundary_carrier,6:1,boundary_carrier,60,1.000000,false,true,false,false,signature_part_profile_not_law
slot_pair_02_08_boundary_carrier:6:1,slot_pair_02_08_boundary_carrier,6:1,boundary_carrier,60,1.000000,false,true,false,false,signature_part_profile_not_law
slot_pair_03_08_boundary_carrier:6:1,slot_pair_03_08_boundary_carrier,6:1,boundary_carrier,60,1.000000,false,true,false,false,signature_part_profile_not_law
slot_pair_04_05_boundary_carrier:6:1,slot_pair_04_05_boundary_carrier,6:1,boundary_carrier,60,1.000000,false,true,false,true,signature_part_profile_not_law
slot_pair_07_10_boundary_carrier:6:1,slot_pair_07_10_boundary_carrier,6:1,boundary_carrier,60,1.000000,false,true,false,false,signature_part_profile_not_law
slot_pair_08_13_boundary_carrier:6:1,slot_pair_08_13_boundary_carrier,6:1,boundary_carrier,60,1.000000,false,true,false,false,signature_part_profile_not_law
slot_pair_10_11_boundary_carrier:6:1,slot_pair_10_11_boundary_carrier,6:1,boundary_carrier,60,1.000000,false,true,false,false,signature_part_profile_not_law
slot_pair_13_14_boundary_carrier:6:1,slot_pair_13_14_boundary_carrier,6:1,boundary_carrier,60,1.000000,false,true,false,false,signature_part_profile_not_law
slot_pair_06_13_boundary_carrier:2:1,slot_pair_06_13_boundary_carrier,2:1,boundary_carrier,60,1.000000,false,true,false,false,signature_part_profile_not_law
slot_pair_12_13_boundary_carrier:2:1,slot_pair_12_13_boundary_carrier,2:1,boundary_carrier,60,1.000000,false,true,false,false,signature_part_profile_not_law
