carrier,left_slot,right_slot,dominant_value_pair,target_class,predicted_class,is_target_carrier,is_predicted_carrier,prediction_matches_target,left_source_role,right_source_role,promotion_status
slot_pair_00_01_boundary_carrier,00,01,8:1,,,false,false,true,source_leaf,omitted,carrier_reconstruction_not_law
slot_pair_00_04_boundary_carrier,00,04,6:1,,,false,false,true,source_leaf,source_leaf,carrier_reconstruction_not_law
slot_pair_00_05_boundary_carrier,00,05,6:1,anchor_spoke,anchor_spoke,true,true,true,source_leaf,anchor,carrier_reconstruction_not_law
slot_pair_00_06_boundary_carrier,00,06,6:1,,,false,false,true,source_leaf,source_leaf,carrier_reconstruction_not_law
slot_pair_01_02_boundary_carrier,01,02,9:1,,,false,false,true,omitted,source_leaf,carrier_reconstruction_not_law
slot_pair_01_06_boundary_carrier,01,06,6:1,,,false,false,true,omitted,source_leaf,carrier_reconstruction_not_law
slot_pair_01_07_boundary_carrier,01,07,6:1,,,false,false,true,omitted,source_leaf,carrier_reconstruction_not_law
slot_pair_02_03_boundary_carrier,02,03,6:1,,,false,false,true,source_leaf,source_leaf,carrier_reconstruction_not_law
slot_pair_02_07_boundary_carrier,02,07,6:1,,,false,false,true,source_leaf,source_leaf,carrier_reconstruction_not_law
slot_pair_02_08_boundary_carrier,02,08,6:1,anchor_spoke,anchor_spoke,true,true,true,source_leaf,anchor,carrier_reconstruction_not_law
slot_pair_03_04_boundary_carrier,03,04,8:1,,,false,false,true,source_leaf,source_leaf,carrier_reconstruction_not_law
slot_pair_03_08_boundary_carrier,03,08,6:1,anchor_spoke,anchor_spoke,true,true,true,source_leaf,anchor,carrier_reconstruction_not_law
slot_pair_03_09_boundary_carrier,03,09,7:1,,,false,false,true,source_leaf,omitted,carrier_reconstruction_not_law
slot_pair_04_05_boundary_carrier,04,05,6:1,anchor_spoke,anchor_spoke,true,true,true,source_leaf,anchor,carrier_reconstruction_not_law
slot_pair_04_09_boundary_carrier,04,09,7:1,,,false,false,true,source_leaf,omitted,carrier_reconstruction_not_law
slot_pair_05_10_boundary_carrier,05,10,12:3,inner_tie,inner_tie,true,true,true,anchor,anchor,carrier_reconstruction_not_law
slot_pair_05_14_boundary_carrier,05,14,7:1,inner_tie,inner_tie,true,true,true,anchor,anchor,carrier_reconstruction_not_law
slot_pair_06_12_boundary_carrier,06,12,10:2,,,false,false,true,source_leaf,source_leaf,carrier_reconstruction_not_law
slot_pair_06_13_boundary_carrier,06,13,6:1,outer_return,outer_return,true,true,true,source_leaf,source_return_hub,carrier_reconstruction_not_law
slot_pair_07_10_boundary_carrier,07,10,12:2,anchor_spoke,anchor_spoke,true,true,true,source_leaf,anchor,carrier_reconstruction_not_law
slot_pair_07_11_boundary_carrier,07,11,7:1,,,false,false,true,source_leaf,source_leaf,carrier_reconstruction_not_law
slot_pair_08_13_boundary_carrier,08,13,9:2,anchor_spoke,anchor_spoke,true,true,true,anchor,source_return_hub,carrier_reconstruction_not_law
slot_pair_08_14_boundary_carrier,08,14,9:2,inner_tie,inner_tie,true,true,true,anchor,anchor,carrier_reconstruction_not_law
slot_pair_09_11_boundary_carrier,09,11,9:2,,,false,false,true,omitted,source_leaf,carrier_reconstruction_not_law
slot_pair_09_12_boundary_carrier,09,12,9:2,,,false,false,true,omitted,source_leaf,carrier_reconstruction_not_law
slot_pair_10_11_boundary_carrier,10,11,9:2,anchor_spoke,anchor_spoke,true,true,true,anchor,source_leaf,carrier_reconstruction_not_law
slot_pair_10_14_boundary_carrier,10,14,9:2,inner_tie,inner_tie,true,true,true,anchor,anchor,carrier_reconstruction_not_law
slot_pair_11_12_boundary_carrier,11,12,7:1,,,false,false,true,source_leaf,source_leaf,carrier_reconstruction_not_law
slot_pair_12_13_boundary_carrier,12,13,6:1,outer_return,outer_return,true,true,true,source_leaf,source_return_hub,carrier_reconstruction_not_law
slot_pair_13_14_boundary_carrier,13,14,6:1,anchor_spoke,anchor_spoke,true,true,true,source_return_hub,anchor,carrier_reconstruction_not_law
